Table,Status,Rows,Elapsed_sec,Error
bill_of_lading_header,FAILED,0,0.1154,"('42S22', ""[42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'shipping_cost_carrier_quote'. (207) (SQLExecute); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'shipping_cost_carrier_actual'. (207); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'quote_code'. (207); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'dimension_shipment'. (207); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'email_address'. (207); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'notes_difference_reason'. (207); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Statement(s) could not be prepared. (8180)"")"
bin_created,FAILED,0,0.3330,"('42S02', '[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Cannot find the object ""bin_created"" because it does not exist or you do not have permissions. (4701) (SQLExecDirectW)')"
bin_label,FAILED,0,0.3293,"('42S02', '[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Cannot find the object ""bin_label"" because it does not exist or you do not have permissions. (4701) (SQLExecDirectW)')"
bin_qty_removed,FAILED,0,0.3258,"('42S02', '[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Cannot find the object ""bin_qty_removed"" because it does not exist or you do not have permissions. (4701) (SQLExecDirectW)')"
cancel_charge,FAILED,0,0.0103,"('42S22', ""[42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'jobstatus'. (207) (SQLExecute); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Statement(s) could not be prepared. (8180)"")"
dealer_credit_history,FAILED,0,0.0222,"('42S22', ""[42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'discount_liner'. (207) (SQLExecute); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Statement(s) could not be prepared. (8180)"")"
dealer_file_location_financial,FAILED,0,0.3254,"('42S02', '[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Cannot find the object ""dealer_file_location_financial"" because it does not exist or you do not have permissions. (4701) (SQLExecDirectW)')"
dealer_promo_cover,FAILED,0,0.3277,"('42S02', '[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Cannot find the object ""dealer_promo_cover"" because it does not exist or you do not have permissions. (4701) (SQLExecDirectW)')"
dealer_promo_liner,FAILED,0,0.0473,"('42S22', ""[42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'promo_l093h'. (207) (SQLExecute); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'promo_l093h_sent'. (207); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'promo_h923'. (207); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'promo_h923_sent'. (207); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Statement(s) could not be prepared. (8180)"")"
dealer_sales_journal,FAILED,0,0.3265,"('42S02', '[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Cannot find the object ""dealer_sales_journal"" because it does not exist or you do not have permissions. (4701) (SQLExecDirectW)')"
dealer_same_company,FAILED,0,0.3292,"('42S02', '[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Cannot find the object ""dealer_same_company"" because it does not exist or you do not have permissions. (4701) (SQLExecDirectW)')"
dealer_unique_pricing,FAILED,0,0.3258,"('42S02', '[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Cannot find the object ""dealer_unique_pricing"" because it does not exist or you do not have permissions. (4701) (SQLExecDirectW)')"
file_type,FAILED,0,0.3307,"('42S02', '[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Cannot find the object ""file_type"" because it does not exist or you do not have permissions. (4701) (SQLExecDirectW)')"
flat_rates_h,FAILED,0,0.3245,"('42S02', '[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Cannot find the object ""flat_rates_h"" because it does not exist or you do not have permissions. (4701) (SQLExecDirectW)')"
flat_rates_state_h,FAILED,0,0.3281,"('42S02', '[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Cannot find the object ""flat_rates_state_h"" because it does not exist or you do not have permissions. (4701) (SQLExecDirectW)')"
hardware_h,FAILED,0,0.1194,"('42S22', ""[42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'max_discount'. (207) (SQLExecute); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'dealer_only'. (207); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Statement(s) could not be prepared. (8180)"")"
lll_users,FAILED,0,0.0257,"('42S22', ""[42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'prep_version'. (207) (SQLExecute); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Statement(s) could not be prepared. (8180)"")"
machine_parts,FAILED,0,0.3215,"('42S02', '[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Cannot find the object ""machine_parts"" because it does not exist or you do not have permissions. (4701) (SQLExecDirectW)')"
machine_parts_removed_entry,FAILED,0,0.3275,"('42S02', '[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Cannot find the object ""machine_parts_removed_entry"" because it does not exist or you do not have permissions. (4701) (SQLExecDirectW)')"
machine_parts_removed_group,FAILED,0,0.3281,"('42S02', '[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Cannot find the object ""machine_parts_removed_group"" because it does not exist or you do not have permissions. (4701) (SQLExecDirectW)')"
machine_parts_taken_out,FAILED,0,0.3272,"('42S02', '[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Cannot find the object ""machine_parts_taken_out"" because it does not exist or you do not have permissions. (4701) (SQLExecDirectW)')"
machine_production,FAILED,0,0.3272,"('42S02', '[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Cannot find the object ""machine_production"" because it does not exist or you do not have permissions. (4701) (SQLExecDirectW)')"
machine_sewing,FAILED,0,0.3277,"('42S02', '[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Cannot find the object ""machine_sewing"" because it does not exist or you do not have permissions. (4701) (SQLExecDirectW)')"
prep_claimed_drafting,FAILED,0,0.3283,"('42S02', '[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Cannot find the object ""prep_claimed_drafting"" because it does not exist or you do not have permissions. (4701) (SQLExecDirectW)')"
prep_file_location,FAILED,0,0.0348,"('42S22', ""[42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'file_processed'. (207) (SQLExecute); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'forward_email_accounting'. (207); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Statement(s) could not be prepared. (8180)"")"
prep_linerwall_nobasket,FAILED,0,0.3226,"('42S02', '[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Cannot find the object ""prep_linerwall_nobasket"" because it does not exist or you do not have permissions. (4701) (SQLExecDirectW)')"
prep_ra_hardware,FAILED,0,0.0519,"('42S22', ""[42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'start_prorated_warranty'. (207) (SQLExecute); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Statement(s) could not be prepared. (8180)"")"
product_bluedot,FAILED,0,0.3376,"('42S02', '[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Cannot find the object ""product_bluedot"" because it does not exist or you do not have permissions. (4701) (SQLExecDirectW)')"
promo_type,FAILED,0,0.0488,"('42S22', ""[42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'alert_email_flag'. (207) (SQLExecute); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Statement(s) could not be prepared. (8180)"")"
que_rtn_dealer_notify_prep,FAILED,0,0.3252,"('42S02', '[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Cannot find the object ""que_rtn_dealer_notify_prep"" because it does not exist or you do not have permissions. (4701) (SQLExecDirectW)')"
replacement_cover_request,FAILED,0,0.0983,"('42S22', ""[42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'aqua_extreme_color_question'. (207) (SQLExecute); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Statement(s) could not be prepared. (8180)"")"
rtn_bluesheet,FAILED,0,0.1502,"('42S22', ""[42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'box_replacement'. (207) (SQLExecute); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'date_label_sent'. (207); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'email_address_label'. (207); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'prep_id_preexisting'. (207); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'no_box_needed'. (207); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Statement(s) could not be prepared. (8180)"")"
Sales_call_log,FAILED,0,2.5286,"('23000', ""[23000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Violation of PRIMARY KEY constraint 'PK__Sales_ca__B9E8B39EABEF45F3'. Cannot insert duplicate key in object 'dbo.Sales_call_log'. The duplicate key value is (chris , 458). (2627) (SQLExecute); [23000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]The statement has been terminated. (3621)"")"
special_instructions,FAILED,0,0.0397,"('42S22', ""[42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'print_documents'. (207) (SQLExecute); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'highlight_color'. (207); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Statement(s) could not be prepared. (8180)"")"
standards,FAILED,0,0.1198,"('42S22', ""[42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'stock_id_aqua'. (207) (SQLExecute); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Statement(s) could not be prepared. (8180)"")"
standards_treatment,FAILED,0,0.0143,"('42S22', ""[42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'id'. (207) (SQLExecute); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Statement(s) could not be prepared. (8180)"")"
